time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,t_go,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
38.307080,67.738777,7.855530,-4.967221,-3.301411,-3.700868,-0.018756,53.724410,-6.198046,-0.078058,-3.598449,-3.471478,-0.209938,20.440386,19.847052,4.889163,27.276289,-31.712947,-1.621078,7.349866,-3.317012,-3.310326,-0.032779,-0.650245,-0.506041,-0.011005,-0.077566,0.340660,-0.028691,0,follow,,20.440386,0.421191,-0.000212,0,,,
38.356994,67.549507,7.651060,-4.966547,-3.305835,-3.683068,-0.020455,53.544765,-6.370797,-0.087875,-3.602288,-3.467495,-0.200899,20.409476,19.817802,4.878673,27.107558,-31.818757,-1.562270,7.339004,-3.306206,-3.289195,-0.033453,0.216129,0.422616,-0.013475,-0.080049,0.307873,-0.030593,0,follow,,20.409476,0.408553,-0.012184,0,,,
38.407064,67.414330,7.505236,-4.966183,-3.309029,-3.671208,-0.021624,53.363530,-6.544676,-0.097226,-3.606251,-3.463373,-0.190620,20.458048,19.870203,4.868957,26.827427,-32.029426,-1.499878,7.358362,-3.338608,-3.315033,-0.033817,-0.648042,-0.516775,-0.007286,-0.079647,0.292942,-0.027054,0,follow,,20.458048,0.400120,-0.021180,0,,,
38.456978,67.198074,7.272388,-4.965832,-3.313697,-3.653166,-0.023282,53.184254,-6.716259,-0.105865,-3.610341,-3.459110,-0.179166,20.388444,19.800742,4.859967,26.711039,-32.080556,-1.419622,7.332609,-3.306086,-3.271302,-0.034168,0.650433,0.874626,-0.007029,-0.076453,0.275254,-0.025769,0,follow,,20.388444,0.387241,-0.033594,0,,,
38.507100,67.062897,7.127129,-4.965740,-3.316841,-3.642660,-0.024259,53.002239,-6.890039,-0.113977,-3.614557,-3.454703,-0.166608,20.438266,19.854045,4.851763,26.426960,-32.290024,-1.338928,7.352291,-3.338369,-3.297688,-0.034260,-0.645650,-0.527724,-0.001841,-0.078728,0.262668,-0.023319,0,follow,,20.438266,0.379771,-0.042119,0,,,
38.556887,66.873451,6.924172,-4.965673,-3.321314,-3.629067,-0.025484,52.822413,-7.061286,-0.121275,-3.618903,-3.450151,-0.153023,20.408158,19.824851,4.844398,26.254481,-32.390338,-1.244680,7.341433,-3.327183,-3.277960,-0.034327,0.223720,0.394575,-0.001326,-0.080615,0.239745,-0.018659,0,follow,,20.408158,0.369914,-0.052007,0,,,
38.607064,66.738029,6.779410,-4.965744,-3.324633,-3.619839,-0.026148,52.639933,-7.234607,-0.127928,-3.623378,-3.445451,-0.138494,20.458579,19.878355,4.837816,25.967600,-32.597183,-1.147404,7.361178,-3.359165,-3.304825,-0.034256,-0.639651,-0.537317,0.001411,-0.084221,0.229865,-0.013448,0,follow,,20.458579,0.363705,-0.059845,0,,,
38.656969,66.521378,6.548071,-4.965927,-3.329798,-3.606024,-0.027092,52.459076,-7.405917,-0.133719,-3.627985,-3.440599,-0.123111,20.391477,19.810657,4.832208,25.843959,-32.646356,-1.036868,7.336059,-3.326117,-3.262467,-0.034073,0.660966,0.847171,0.003662,-0.078986,0.210305,-0.016431,0,follow,,20.391477,0.354261,-0.069680,0,,,
38.707111,66.386086,6.403745,-4.966094,-3.332795,-3.597837,-0.027589,52.276778,-7.578112,-0.138727,-3.632726,-3.435593,-0.106969,20.441829,19.863657,4.827366,25.555869,-32.848993,-0.925549,7.355608,-3.358114,-3.289751,-0.033906,-0.639931,-0.545689,0.003328,-0.075062,0.203927,-0.010668,0,follow,,20.441829,0.350118,-0.077300,0,,,
38.757127,66.196739,6.202088,-4.966346,-3.336962,-3.587108,-0.027849,52.094527,-7.749765,-0.142867,-3.637601,-3.430431,-0.090168,20.415498,19.837505,4.823479,25.373231,-32.949222,-0.805226,7.345857,-3.346827,-3.271201,-0.033654,0.225724,0.371002,0.005054,-0.077903,0.189453,-0.008359,0,follow,,20.415498,0.344696,-0.085874,0,,,
