time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
10.791529,21.979206,10.394962,-4.736767,7.150497,-0.998540,-0.101909,55.166680,4.797896,-0.145015,3.576621,-3.493964,-0.072810,CTRV,-0.019688,33.967923,33.656137,4.591751,62.180515,-2.329039,-0.290636,3.436307,-3.632051,-0.072810,-0.071507,-0.067653,0.000000,2.000000,7.159411,-1.105223,-0.263233,-0.045621,-2.499584,0.158215,0.013729,-1.542754,0.216025,0,follow,,33.967923,4.358965,3.076645,0,,,
10.841509,22.264927,10.352364,-4.741207,7.150005,-1.057326,-0.099815,55.345783,4.622594,-0.147643,3.573674,-3.496978,-0.055004,CTRV,-0.018993,33.886194,33.573402,4.593564,62.358595,-2.505411,-0.257651,3.438295,-3.630169,-0.055004,-0.068946,-0.065302,0.000000,2.000000,7.148268,-1.229726,-0.258793,-0.222853,-2.490048,0.088806,-0.020663,-1.444742,0.034265,0,follow,,33.886194,4.329441,3.072745,0,,,
10.891566,22.664700,10.289804,-4.747230,7.146874,-1.131253,-0.099758,55.524134,4.447747,-0.149349,3.570842,-3.499870,-0.036859,CTRV,-0.018282,33.689948,33.374722,4.597880,62.536269,-2.680986,-0.223067,3.440511,-3.628069,-0.036859,-0.066330,-0.062901,0.000000,2.000000,7.122027,-1.351940,-0.252770,-0.524833,-2.444289,0.120449,-0.074476,-1.259699,-0.008350,0,follow,,33.689948,4.289791,3.068559,0,,,
10.941569,22.949997,10.243274,-4.751524,7.142877,-1.178699,-0.100730,55.702193,4.272918,-0.150136,3.568125,-3.502640,-0.018486,CTRV,-0.017588,33.608395,33.291913,4.601389,62.713770,-2.856420,-0.187109,3.442730,-3.625963,-0.018486,-0.063775,-0.060552,0.000000,2.000000,7.101724,-1.409984,-0.248476,-0.406061,-1.160868,0.085897,-0.108302,-1.154907,-0.029634,0,follow,,33.608395,4.264542,3.059587,0,,,
10.991394,23.406168,10.165967,-4.758666,7.134797,-1.248821,-0.103344,55.880638,4.097450,-0.150000,3.565521,-3.505290,0.000000,CTRV,-0.016917,33.356528,33.036618,4.608666,62.891734,-3.032417,-0.150000,3.444906,-3.623896,0.000000,-0.061305,-0.058277,0.000000,2.000000,7.080013,-1.435937,-0.241334,-0.434224,-0.519067,0.142832,-0.137885,-1.068239,-0.043496,0,follow,,33.356528,4.223987,3.050097,0,,,
11.041480,23.691034,10.115918,-4.763346,7.128584,-1.290682,-0.104704,56.058726,3.922086,-0.148939,3.563030,-3.507822,0.018486,CTRV,-0.016236,33.276474,32.954984,4.614407,63.069637,-3.208014,-0.111966,3.447265,-3.621652,0.018486,-0.058801,-0.055970,0.000000,2.000000,7.064107,-1.474405,-0.236654,-0.318114,-0.769354,0.093594,-0.159502,-1.042162,-0.031860,0,follow,,33.276474,4.200484,3.038414,0,,,
11.091553,24.089445,10.043624,-4.770052,7.118700,-1.348680,-0.104605,56.235127,3.748151,-0.146976,3.560651,-3.510237,0.036859,CTRV,-0.015532,33.080972,32.756341,4.623076,63.246250,-3.381794,-0.073258,3.449908,-3.619135,0.036859,-0.056213,-0.053585,0.000000,2.000000,7.044783,-1.502436,-0.229948,-0.386484,-0.560622,0.134125,-0.182837,-1.028515,0.017295,0,follow,,33.080972,4.165579,3.026328,0,,,
11.141570,24.373716,9.990416,-4.774903,7.110857,-1.389776,-0.103724,56.414705,3.570855,-0.144073,3.558384,-3.512535,0.055004,CTRV,-0.014908,33.004247,32.677756,4.630830,63.425700,-3.559261,-0.034064,3.452092,-3.617052,0.055004,-0.053921,-0.051462,0.000000,2.000000,7.029560,-1.538875,-0.225097,-0.304450,-0.728780,0.097017,-0.198781,-1.025625,0.019597,0,follow,,33.004247,4.141421,3.013628,0,,,
11.191516,24.828297,9.902525,-4.782680,7.097508,-1.454960,-0.100850,56.592371,3.395232,-0.140301,3.556227,-3.514719,0.072810,CTRV,-0.014252,32.754434,32.423777,4.642378,63.603682,-3.734617,0.005320,3.454609,-3.614647,0.072810,-0.051518,-0.049237,0.000000,2.000000,7.008839,-1.559718,-0.217320,-0.414418,-0.416854,0.155535,-0.208318,-1.011848,0.050220,0,follow,,32.754434,4.100419,3.000384,0,,,
11.241660,25.112307,9.845817,-4.787433,7.088728,-1.495146,-0.098392,56.770755,3.218696,-0.135645,3.554180,-3.516789,0.090168,CTRV,-0.013603,32.677442,32.344645,4.651788,63.782566,-3.910703,0.044690,3.457199,-3.612170,0.090168,-0.049136,-0.047028,0.000000,2.000000,6.994267,-1.594194,-0.212567,-0.291447,-0.689535,0.095072,-0.219365,-1.004934,0.062504,0,follow,,32.677442,4.076227,2.987489,0,,,
