time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,t_go,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
9.295484,0.033148,0.023673,-4.291220,0.028736,-0.013084,-0.487547,49.697514,9.954886,0.130566,3.724984,-3.335340,-0.106969,CTRV,-0.046981,50.840244,50.647589,4.421786,77.197057,-19.076460,-0.725186,8.000000,0.028736,-0.013084,-0.487547,0.000000,0.000000,0.000000,0.027243,0.005646,0.390843,0,takeoff,,50.840244,4.984423,-2.994884,0,,,
9.344902,0.037002,0.022487,-4.316889,0.030711,-0.013192,-0.463930,49.883479,9.787611,0.124342,3.717929,-3.343202,-0.123111,CTRV,-0.045841,50.987777,50.793984,4.441231,77.380031,-19.247357,-0.860545,8.000000,0.030711,-0.013192,-0.463930,0.000000,0.000000,0.000000,0.029447,-0.004778,0.359992,0,takeoff,,50.987777,4.980031,-2.996611,0,,,
9.395578,0.039524,0.021538,-4.332336,0.031597,-0.013275,-0.450143,50.069239,9.619828,0.117346,3.711039,-3.350849,-0.138494,CTRV,-0.044649,51.136086,50.942120,4.449682,77.567003,-19.414797,-0.990603,8.000000,0.031597,-0.013275,-0.450143,0.000000,0.000000,0.000000,0.021428,-0.001327,0.340970,0,takeoff,,51.136086,4.977431,-3.000487,0,,,
9.445586,0.043026,0.019909,-4.353255,0.032421,-0.013608,-0.431557,50.255003,9.451364,0.109610,3.704311,-3.358286,-0.153023,CTRV,-0.043506,51.284619,51.090068,4.462865,77.752993,-19.583799,-1.114571,8.000000,0.032421,-0.013608,-0.431557,0.000000,0.000000,0.000000,0.010307,-0.009578,0.325639,0,takeoff,,51.284619,4.974658,-3.004228,0,,,
9.495507,0.045467,0.018486,-4.367692,0.032875,-0.014120,-0.419083,50.438945,9.283899,0.101261,3.697743,-3.365516,-0.166608,CTRV,-0.042394,51.432694,51.238174,4.468953,77.937047,-19.751869,-1.231603,8.000000,0.032875,-0.014120,-0.419083,0.000000,0.000000,0.000000,0.011890,-0.013899,0.300813,0,takeoff,,51.432694,4.972610,-3.009013,0,,,
9.544996,0.049265,0.016034,-4.390083,0.032698,-0.014792,-0.400685,50.624515,9.114304,0.092201,3.691332,-3.372546,-0.179166,CTRV,-0.041370,51.582219,51.387104,4.482284,78.119745,-19.924824,-1.341131,8.000000,0.032698,-0.014792,-0.400685,0.000000,0.000000,0.000000,-0.003953,-0.009370,0.276433,0,takeoff,,51.582219,4.970833,-3.014207,0,,,
9.595435,0.051631,0.014426,-4.403661,0.032370,-0.015248,-0.389826,50.808450,8.945578,0.082633,3.685077,-3.379380,-0.190620,CTRV,-0.040235,51.731490,51.536591,4.486294,78.307878,-20.090265,-1.442328,8.000000,0.032370,-0.015248,-0.389826,0.000000,0.000000,0.000000,-0.011231,-0.010688,0.267832,0,takeoff,,51.731490,4.969843,-3.020363,0,,,
9.645039,0.054851,0.012114,-4.422271,0.031411,-0.015704,-0.375184,50.992070,8.776532,0.072558,3.678975,-3.386022,-0.200899,CTRV,-0.039207,51.880814,51.685737,4.494829,78.491711,-20.259719,-1.534631,8.000000,0.031411,-0.015704,-0.375184,0.000000,0.000000,0.000000,-0.019212,-0.006284,0.253374,0,takeoff,,51.880814,4.969320,-3.026962,0,,,
9.695509,0.057069,0.010362,-4.435239,0.030549,-0.015901,-0.365364,51.174573,8.607926,0.062085,3.673023,-3.392477,-0.209938,CTRV,-0.038139,52.030215,51.835483,4.497324,78.677780,-20.425563,-1.617423,8.000000,0.030549,-0.015901,-0.365364,0.000000,0.000000,0.000000,-0.022508,-0.003739,0.240184,0,takeoff,,52.030215,4.969209,-3.034061,0,,,
9.745064,0.060444,0.007852,-4.455626,0.028694,-0.015840,-0.350272,51.359463,8.436527,0.051075,3.667221,-3.398749,-0.217684,CTRV,-0.037199,52.181819,51.986844,4.506701,78.861086,-20.598989,-1.690397,8.000000,0.028694,-0.015840,-0.350272,0.000000,0.000000,0.000000,-0.031861,0.003150,0.236448,0,takeoff,,52.181819,4.969963,-3.041997,0,,,
