time,uav_x,uav_y,uav_z,uav_vx,uav_vy,target_x,target_y,target_vx,target_vy,distance,intercept_x,intercept_y,t_go,uav_vz,target_z,target_vz,horizontal_distance,vertical_error,intercept_z,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason
60.792896,19.053013,360.731750,-4.991761,0.328666,7.691663,20.000000,388.880864,0.000000,5.000000,28.613038,20.000000,428.880864,8.000000,-0.008935,0.051705,-0.217684,28.165038,5.043466,-1.689767,0.333829,7.692760,-0.008239,0.047324,-0.002046,0.008316,-0.014043,-0.013967,-0.008026,0,follow,,28.613038,2.719678,2.695694,0,,
60.842854,19.066124,361.037811,-4.992239,0.328368,7.691280,20.000000,389.131315,0.000000,5.000000,28.556001,20.000000,429.131315,8.000000,-0.009225,0.040467,-0.224087,28.109021,5.032707,-1.752232,0.331493,7.692861,-0.007761,-0.046722,0.002020,0.009575,-0.004598,-0.010133,-0.006055,0,follow,,28.556001,2.719739,2.696298,0,,
60.892975,19.084839,361.466156,-4.992786,0.328439,7.690845,20.000000,389.381447,0.000000,5.000000,28.378148,20.000000,429.381447,8.000000,-0.009222,0.028994,-0.229109,27.930288,5.021780,-1.803880,0.332157,7.692832,-0.007214,0.013282,-0.000573,0.010939,0.002384,-0.008702,0.004968,0,follow,,28.378148,2.719718,2.696459,0,,
60.942886,19.098398,361.772095,-4.993237,0.328489,7.690344,20.000000,389.630319,0.000000,5.000000,28.319605,20.000000,429.630319,8.000000,-0.009069,0.017400,-0.232719,27.872810,5.010636,-1.844349,0.329638,7.692941,-0.006763,-0.050390,0.002167,0.009003,0.001328,-0.010133,0.005308,0,follow,,28.319605,2.719536,2.696542,0,,
60.993127,19.120188,362.261627,-4.994101,0.328755,7.689742,20.000000,389.881909,0.000000,5.000000,28.082926,20.000000,429.881909,8.000000,-0.008796,0.005572,-0.234893,27.634291,4.999673,-1.873573,0.331694,7.692852,-0.005899,0.041135,-0.001768,0.017281,0.002678,-0.009894,0.002977,0,follow,,28.082926,2.719175,2.695983,0,,
61.043033,19.133734,362.567596,-4.994625,0.328917,7.689262,20.000000,390.129994,0.000000,5.000000,28.023585,20.000000,430.129994,8.000000,-0.008453,-0.006126,-0.235619,27.576008,4.988499,-1.891081,0.329113,7.692963,-0.005375,-0.051624,0.002217,0.010490,0.002141,-0.011802,0.008176,0,follow,,28.023585,2.718809,2.695610,0,,
61.092993,19.152584,362.995819,-4.995178,0.329066,7.688694,20.000000,390.380182,0.000000,5.000000,27.845913,20.000000,430.380182,8.000000,-0.007893,-0.017885,-0.234893,27.397472,4.977294,-1.897030,0.329708,7.692938,-0.004822,0.011891,-0.000509,0.011063,0.004224,-0.009149,0.013515,0,follow,,27.845913,2.718252,2.694718,0,,
61.143200,19.166046,363.301666,-4.995447,0.329145,7.688309,20.000000,390.630899,0.000000,5.000000,27.789251,20.000000,430.630899,8.000000,-0.007523,-0.029558,-0.232719,27.341954,4.965889,-1.891306,0.326938,7.693056,-0.004553,-0.055392,0.002364,0.005369,0.003515,-0.008494,0.007321,0,follow,,27.789251,2.717729,2.693927,0,,
61.192853,19.187733,363.791138,-4.995795,0.329043,7.688109,20.000000,390.880503,0.000000,5.000000,27.550745,20.000000,430.880503,8.000000,-0.006856,-0.040997,-0.229109,27.101541,4.954798,-1.873871,0.329188,7.692960,-0.004205,0.044997,-0.001919,0.006962,-0.001356,-0.000497,0.010086,0,follow,,27.550745,2.717277,2.692764,0,,
61.243107,19.201391,364.097321,-4.996226,0.329104,7.688171,20.000000,391.131251,0.000000,5.000000,27.493894,20.000000,431.131251,8.000000,-0.006575,-0.052235,-0.224087,27.045723,4.943991,-1.844934,0.326233,7.693086,-0.003774,-0.059108,0.002518,0.008631,-0.001245,0.001411,0.006400,0,follow,,27.493894,2.716962,2.691871,0,,
