measurement_stamp,receipt_stamp,processed_stamp,published_stamp,source,valid,rejection_reason,approach_phase,distance_bin,motion_regime,confidence,red_pixel_count,valid_depth_ratio,target_range,view_angle,position_x,position_y,position_z,covariance_xx,covariance_yy,covariance_zz,truth_x,truth_y,truth_z,error_x,error_y,error_z,horizontal_error,position_3d_error,observation_age
0.0,1789956411.345018,1789956411.355641,1789956411.355641,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956411.345018
0.0,1789956411.4521668,1789956411.4554925,1789956411.4554925,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956411.4521668
0.0,1789956411.547404,1789956411.5556927,1789956411.5556927,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956411.547404
0.0,1789956411.5910425,1789956411.6556103,1789956411.6556103,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956411.5910425
0.0,1789956411.7521772,1789956411.7556133,1789956411.7556133,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956411.7521772
0.0,1789956411.9535756,1789956411.9564576,1789956411.9564576,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956411.9535756
0.0,1789956412.0119665,1789956412.0555933,1789956412.0555933,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956412.0119665
0.0,1789956412.1530952,1789956412.1555445,1789956412.1555445,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956412.1530952
0.0,1789956412.2535655,1789956412.255562,1789956412.255562,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956412.2535655
0.0,1789956412.3515499,1789956412.3557353,1789956412.3557353,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956412.3515499
